date,precipitation_sum,precipitation_hours,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,et0_fao_evapotranspiration,river_discharge,location,state,latitude,longitude,flood_site,flood_occurred,rain_3d_sum,rain_7d_sum,rain_14d_sum,discharge_lag1,discharge_lag3,temp_range
2018-01-01,0.0,0.0,36.0,21.8,16.3,5.96,2207.01,Lokoja,Kogi,7.7975,6.7399,1,0,0.0,0.0,0.0,2207.01,2207.01,14.2
2018-01-02,0.0,0.0,35.4,21.9,13.6,5.74,2176.71,Lokoja,Kogi,7.7975,6.7399,1,0,0.0,0.0,0.0,2207.01,2207.01,13.5
2018-01-03,0.0,0.0,35.8,20.8,15.3,6.03,2141.89,Lokoja,Kogi,7.7975,6.7399,1,0,0.0,0.0,0.0,2176.71,2207.01,14.999999999999996
2018-01-04,0.0,0.0,35.8,20.6,13.5,5.96,2112.49,Lokoja,Kogi,7.7975,6.7399,1,0,0.0,0.0,0.0,2141.89,2207.01,15.199999999999996
2018-01-05,0.0,0.0,34.7,19.6,12.0,5.72,2083.49,Lokoja,Kogi,7.7975,6.7399,1,0,0.0,0.0,0.0,2112.49,2176.71,15.100000000000001
2018-01-06,0.0,0.0,35.0,19.9,9.4,4.84,2054.89,Lokoja,Kogi,7.7975,6.7399,1,0,0.0,0.0,0.0,2083.49,2141.89,15.100000000000001
2018-01-07,0.0,0.0,35.7,18.8,7.7,4.61,2022.02,Lokoja,Kogi,7.7975,6.7399,1,0,0.0,0.0,0.0,2054.89,2112.49,16.900000000000002
2018-01-08,0.0,0.0,36.7,19.9,9.4,5.21,1989.67,Lokoja,Kogi,7.7975,6.7399,1,0,0.0,0.0,0.0,2022.02,2083.49,16.800000000000004
2018-01-09,0.0,0.0,37.8,20.9,8.7,4.59,1953.34,Lokoja,Kogi,7.7975,6.7399,1,0,0.0,0.0,0.0,1989.67,2054.89,16.9
2018-01-10,0.0,0.0,35.4,21.1,9.6,5.27,1908.85,Lokoja,Kogi,7.7975,6.7399,1,0,0.0,0.0,0.0,1953.34,2022.02,14.299999999999997
2018-01-11,0.0,0.0,35.8,22.9,11.8,4.91,1861.09,Lokoja,Kogi,7.7975,6.7399,1,0,0.0,0.0,0.0,1908.85,1989.67,12.899999999999999
